Date,Clicks,Impressions,CTR,Position
2024-10-01,1,81,1.23%,17.9
2024-10-02,2,70,2.86%,23.1
2024-10-03,2,59,3.39%,21
2024-10-04,0,68,0%,26.9
2024-10-05,0,59,0%,30.7
2024-10-06,1,82,1.22%,27.3
2024-10-07,1,72,1.39%,30.2
2024-10-08,1,75,1.33%,27.2
2024-10-09,8,94,8.51%,21.6
2024-10-10,1,80,1.25%,25
2024-10-11,0,59,0%,28.1
2024-10-12,0,70,0%,30.2
2024-10-13,0,82,0%,32.1
2024-10-14,1,83,1.2%,31
2024-10-15,2,109,1.83%,34.2
2024-10-16,2,114,1.75%,34.7
2024-10-17,1,81,1.23%,28.5
2024-10-18,5,78,6.41%,29.4
2024-10-19,1,81,1.23%,30.2
2024-10-20,2,95,2.11%,37
2024-10-21,1,100,1%,37.4
2024-10-22,0,97,0%,41.1
2024-10-23,2,83,2.41%,32.8
2024-10-24,1,74,1.35%,35.4
2024-10-25,1,84,1.19%,38
2024-10-26,0,73,0%,37.5
2024-10-27,0,81,0%,34
2024-10-28,0,75,0%,31.3
2024-10-29,0,69,0%,34.9
2024-10-30,0,67,0%,24.7
2024-10-31,1,49,2.04%,40.7
2024-11-01,2,60,3.33%,37.9
2024-11-02,1,70,1.43%,39.7
2024-11-03,0,73,0%,32.9
2024-11-04,1,92,1.09%,34.4
2024-11-05,0,68,0%,37.9
2024-11-06,0,83,0%,29.8
2024-11-07,0,70,0%,30.2
2024-11-08,2,69,2.9%,35.3
2024-11-09,2,74,2.7%,39.5
2024-11-10,0,84,0%,36.6
2024-11-11,0,109,0%,30.5
2024-11-12,1,112,0.89%,30.9
2024-11-13,1,109,0.92%,32.2
2024-11-14,4,95,4.21%,34.2
2024-11-15,5,99,5.05%,34.6
2024-11-16,1,82,1.22%,36.8
2024-11-17,0,98,0%,42.7
2024-11-18,0,121,0%,36.8
2024-11-19,0,135,0%,30.2
2024-11-20,1,186,0.54%,29.9
2024-11-21,0,205,0%,25.4
2024-11-22,2,149,1.34%,25.7
2024-11-23,2,100,2%,34.4
2024-11-24,0,146,0%,33
2024-11-25,1,184,0.54%,28.4
2024-11-26,0,153,0%,26.1
2024-11-27,2,106,1.89%,26.5
2024-11-28,0,81,0%,34.9
2024-11-29,0,101,0%,34.7
2024-11-30,0,93,0%,40.4
2024-12-01,3,126,2.38%,30.7
2024-12-02,1,108,0.93%,30
2024-12-03,2,130,1.54%,28.4
2024-12-04,1,93,1.08%,34.5
2024-12-05,1,111,0.9%,35.6
2024-12-06,0,117,0%,28.4
2024-12-07,3,87,3.45%,37.5
2024-12-08,2,112,1.79%,33.7
2024-12-09,0,119,0%,37.2
2024-12-10,1,121,0.83%,34.5
2024-12-11,0,132,0%,34.7
2024-12-12,2,113,1.77%,31.2
2024-12-13,0,89,0%,30.4
2024-12-14,1,71,1.41%,40.5
2024-12-15,0,104,0%,30.4
2024-12-16,3,141,2.13%,24.9
2024-12-17,1,92,1.09%,26.4
2024-12-18,0,85,0%,30.5
2024-12-19,3,94,3.19%,30.3
2024-12-20,0,75,0%,37.6
2024-12-21,0,71,0%,34.9
2024-12-22,1,97,1.03%,40.6
2024-12-23,0,94,0%,41.8
2024-12-24,1,59,1.69%,45.9
2024-12-25,1,65,1.54%,42.9
2024-12-26,1,57,1.75%,38
2024-12-27,0,70,0%,42.7
2024-12-28,2,73,2.74%,38.1
2024-12-29,0,81,0%,36.6
2024-12-30,1,89,1.12%,37.5
2024-12-31,0,77,0%,41.3
2025-01-01,4,74,5.41%,42
2025-01-02,0,86,0%,39.3
2025-01-03,1,91,1.1%,28.9
2025-01-04,2,83,2.41%,43.6
2025-01-05,3,104,2.88%,40.3
2025-01-06,0,100,0%,36.6
2025-01-07,2,98,2.04%,36.1
2025-01-08,1,93,1.08%,29.6
2025-01-09,1,90,1.11%,26.4
2025-01-10,4,63,6.35%,29.1
2025-01-11,3,72,4.17%,35.6
2025-01-12,2,74,2.7%,32.7
2025-01-13,2,107,1.87%,28.9
2025-01-14,2,78,2.56%,28.2
2025-01-15,3,79,3.8%,24.9
2025-01-16,2,40,5%,10.2
2025-01-17,0,51,0%,27
2025-01-18,0,43,0%,35.4
2025-01-19,0,85,0%,32.1
2025-01-20,1,64,1.56%,26.2
2025-01-21,2,74,2.7%,21.4
2025-01-22,1,65,1.54%,20.8
2025-01-23,1,74,1.35%,22.3
2025-01-24,1,53,1.89%,35.1
2025-01-25,3,48,6.25%,25.3
2025-01-26,0,51,0%,22.5
2025-01-27,3,78,3.85%,25.8
2025-01-28,1,71,1.41%,23.4
2025-01-29,4,70,5.71%,21.2
2025-01-30,2,73,2.74%,21.2
2025-01-31,4,66,6.06%,21.5
2025-02-01,2,62,3.23%,21.8
2025-02-02,3,63,4.76%,23.2
2025-02-03,3,71,4.23%,19.1
2025-02-04,1,77,1.3%,23.5
2025-02-05,2,73,2.74%,17.5
2025-02-06,1,68,1.47%,17.5
2025-02-07,0,59,0%,17.5
2025-02-08,0,56,0%,26.6
2025-02-09,2,61,3.28%,18.7
2025-02-10,0,57,0%,19.4
2025-02-11,1,72,1.39%,18.3
2025-02-12,3,62,4.84%,24.6
2025-02-13,4,58,6.9%,17.5
2025-02-14,0,41,0%,18.2
2025-02-15,2,57,3.51%,24.4
2025-02-16,5,56,8.93%,20.9
2025-02-17,2,76,2.63%,21.7
2025-02-18,0,68,0%,16.7
2025-02-19,0,87,0%,18.2
2025-02-20,2,79,2.53%,21.1
2025-02-21,2,77,2.6%,22.5
2025-02-22,1,64,1.56%,27.7
2025-02-23,4,89,4.49%,18.3
2025-02-24,0,90,0%,23.7
2025-02-25,7,71,9.86%,19.2
2025-02-26,2,79,2.53%,17.8
2025-02-27,2,64,3.12%,30.8
2025-02-28,1,81,1.23%,24.1
2025-03-01,2,65,3.08%,25.1
2025-03-02,5,93,5.38%,15.9
2025-03-03,4,99,4.04%,19.6
2025-03-04,1,102,0.98%,25.7
2025-03-05,1,101,0.99%,15.7
2025-03-06,1,78,1.28%,21.6
2025-03-07,1,65,1.54%,16.2
2025-03-08,3,60,5%,24.1
2025-03-09,1,64,1.56%,28
2025-03-10,8,106,7.55%,21.5
2025-03-11,1,94,1.06%,20.5
2025-03-12,1,90,1.11%,21.4
2025-03-13,0,67,0%,22.4
2025-03-14,3,71,4.23%,27.9
2025-03-15,5,65,7.69%,25.4
2025-03-16,4,64,6.25%,23.3
2025-03-17,1,85,1.18%,23.2
2025-03-18,1,90,1.11%,27.1
2025-03-19,4,95,4.21%,26.7
2025-03-20,5,104,4.81%,22.9
2025-03-21,2,79,2.53%,26.5
2025-03-22,3,67,4.48%,24.6
2025-03-23,0,76,0%,25.3
2025-03-24,4,91,4.4%,22.4
2025-03-25,3,73,4.11%,20.3
2025-03-26,1,67,1.49%,23.2
2025-03-27,3,74,4.05%,35.7
2025-03-28,2,92,2.17%,29.4
2025-03-29,2,85,2.35%,34.2
2025-03-30,0,78,0%,32
2025-03-31,2,104,1.92%,28.7
2025-04-01,2,87,2.3%,26.1
2025-04-02,3,102,2.94%,25.3
2025-04-03,0,85,0%,25.5
2025-04-04,1,85,1.18%,27.1
2025-04-05,1,83,1.2%,26.6
2025-04-06,0,72,0%,27.7
2025-04-07,5,90,5.56%,25.1
2025-04-08,1,95,1.05%,22.7
2025-04-09,1,89,1.12%,23.2
2025-04-10,0,67,0%,24.9
2025-04-11,3,85,3.53%,26.5
2025-04-12,1,84,1.19%,29.2
2025-04-13,1,61,1.64%,23.1
2025-04-14,0,74,0%,29.1
2025-04-15,0,85,0%,21
2025-04-16,0,62,0%,29.2
2025-04-17,4,63,6.35%,30.5
2025-04-18,2,51,3.92%,35.6
2025-04-19,2,83,2.41%,31.9
2025-04-20,0,56,0%,38.2
2025-04-21,2,97,2.06%,35.7
2025-04-22,2,95,2.11%,30.5
2025-04-23,1,100,1%,31.8
2025-04-24,0,99,0%,30.1
2025-04-25,2,100,2%,30.7
2025-04-26,0,85,0%,40.3
2025-04-27,0,85,0%,35.5
2025-04-28,2,107,1.87%,30.3
2025-04-29,0,100,0%,34.4
2025-04-30,1,111,0.9%,33.2
2025-05-01,3,110,2.73%,31.8
2025-05-02,1,91,1.1%,31.5
2025-05-03,1,85,1.18%,35.3
2025-05-04,1,101,0.99%,38
2025-05-05,0,125,0%,37.2
2025-05-06,3,151,1.99%,33.2
2025-05-07,5,81,6.17%,24.1
2025-05-08,5,100,5%,28.6
2025-05-09,3,95,3.16%,32.2
2025-05-10,2,64,3.12%,35
2025-05-11,0,85,0%,36.4
2025-05-12,3,78,3.85%,31.5
2025-05-13,1,73,1.37%,37.5
2025-05-14,0,87,0%,31.4
2025-05-15,0,83,0%,29.3
2025-05-16,4,68,5.88%,35.7
2025-05-17,1,69,1.45%,38.8
2025-05-18,2,86,2.33%,35.1
2025-05-19,3,95,3.16%,34.1
2025-05-20,1,98,1.02%,24.1
2025-05-21,3,96,3.12%,36.7
2025-05-22,2,102,1.96%,38.6
2025-05-23,2,65,3.08%,36.3
2025-05-24,1,75,1.33%,42.5
2025-05-25,0,80,0%,40.6
2025-05-26,6,70,8.57%,36.1
2025-05-27,3,70,4.29%,32.1
2025-05-28,3,84,3.57%,29.2
2025-05-29,0,95,0%,30.7
2025-05-30,0,73,0%,33.5
2025-05-31,0,66,0%,39.7
2025-06-01,1,74,1.35%,35.1
2025-06-02,0,64,0%,36.5
2025-06-03,1,90,1.11%,36
2025-06-04,2,92,2.17%,30.1
2025-06-05,1,65,1.54%,28.1
2025-06-06,2,59,3.39%,27.2
2025-06-07,0,64,0%,33.9
2025-06-08,0,63,0%,39.7
2025-06-09,2,99,2.02%,42.9
2025-06-10,6,98,6.12%,36.5
2025-06-11,2,81,2.47%,36
2025-06-12,2,79,2.53%,36.5
2025-06-13,2,67,2.99%,30.4
2025-06-14,0,83,0%,37.4
2025-06-15,2,73,2.74%,35.9
2025-06-16,1,104,0.96%,36
2025-06-17,3,98,3.06%,31.3
2025-06-18,0,97,0%,35.3
2025-06-19,2,84,2.38%,32.9
2025-06-20,0,84,0%,38.3
2025-06-21,0,99,0%,45.6
2025-06-22,0,84,0%,49.4
2025-06-23,2,105,1.9%,38
2025-06-24,3,92,3.26%,37.4
2025-06-25,0,83,0%,37.2
2025-06-26,4,93,4.3%,41.4
2025-06-27,1,82,1.22%,40.7
2025-06-28,3,95,3.16%,38.3
2025-06-29,0,80,0%,40.3
2025-06-30,0,103,0%,39.8
2025-07-01,1,80,1.25%,39.6
2025-07-02,4,119,3.36%,35.8
2025-07-03,3,94,3.19%,33.6
2025-07-04,3,67,4.48%,34.8
2025-07-05,2,90,2.22%,41
2025-07-06,1,71,1.41%,36.8
2025-07-07,3,92,3.26%,33.8
2025-07-08,1,95,1.05%,31.7
2025-07-09,4,107,3.74%,37.5
2025-07-10,4,97,4.12%,42.8
2025-07-11,2,86,2.33%,42.1
2025-07-12,1,98,1.02%,40.6
2025-07-13,0,76,0%,41.8
2025-07-14,0,134,0%,45
2025-07-15,1,102,0.98%,42.2
2025-07-16,1,67,1.49%,41.8
2025-07-17,0,90,0%,35.2
2025-07-18,1,90,1.11%,33.4
2025-07-19,2,55,3.64%,36.5
2025-07-20,0,81,0%,30.9
2025-07-21,3,58,5.17%,31.4
2025-07-22,1,84,1.19%,25.6
2025-07-23,1,112,0.89%,37.4
2025-07-24,0,78,0%,31.1
2025-07-25,0,65,0%,37.1
2025-07-26,1,70,1.43%,28.6
2025-07-27,0,67,0%,31.1
2025-07-28,0,59,0%,27.2
2025-07-29,4,76,5.26%,20.4
2025-07-30,3,71,4.23%,15.2
2025-07-31,2,92,2.17%,27.8
2025-08-01,0,85,0%,26.7
2025-08-02,2,82,2.44%,20.6
2025-08-03,3,80,3.75%,21.4
2025-08-04,2,85,2.35%,22.8
2025-08-05,1,80,1.25%,29.1
2025-08-06,0,92,0%,20.5
2025-08-07,0,69,0%,24.3
2025-08-08,0,71,0%,18.6
2025-08-09,1,62,1.61%,28.3
2025-08-10,0,63,0%,16.8
2025-08-11,0,66,0%,19
2025-08-12,0,73,0%,20.6
2025-08-13,1,65,1.54%,14
2025-08-14,1,55,1.82%,23.8
2025-08-15,2,60,3.33%,20.4
2025-08-16,0,77,0%,16.1
2025-08-17,1,63,1.59%,16
2025-08-18,0,84,0%,24.9
2025-08-19,1,77,1.3%,18.8
2025-08-20,4,85,4.71%,7.7
2025-08-21,1,69,1.45%,12.2
2025-08-22,0,61,0%,16.4
2025-08-23,1,59,1.69%,13.2
2025-08-24,1,67,1.49%,11.6
2025-08-25,2,68,2.94%,9.9
2025-08-26,1,68,1.47%,10.5
2025-08-27,2,79,2.53%,14.7
2025-08-28,1,57,1.75%,15.4
2025-08-29,0,66,0%,12.3
2025-08-30,2,59,3.39%,12.7
2025-08-31,0,68,0%,23.8
2025-09-01,0,27,0%,20.7
2025-09-02,1,29,3.45%,30.7
2025-09-03,1,24,4.17%,25.4
2025-09-04,2,28,7.14%,16.4
2025-09-05,4,50,8%,11.4
2025-09-06,1,58,1.72%,9.2
2025-09-07,1,64,1.56%,6.2
2025-09-08,0,47,0%,13.3
2025-09-09,2,73,2.74%,9.8
2025-09-10,0,44,0%,13.5
2025-09-11,0,22,0%,22
2025-09-12,5,26,19.23%,27.1
2025-09-13,1,9,11.11%,8.3
2025-09-14,1,18,5.56%,7.1
2025-09-15,0,11,0%,6.5
2025-09-16,2,48,4.17%,9.3
2025-09-17,3,52,5.77%,4.1
2025-09-18,2,54,3.7%,6
2025-09-19,0,35,0%,7.3
2025-09-20,0,42,0%,3.8
2025-09-21,3,71,4.23%,2.6
2025-09-22,1,53,1.89%,3.1
2025-09-23,1,49,2.04%,2.6
2025-09-24,1,38,2.63%,2.9
2025-09-25,0,48,0%,5.1
2025-09-26,3,54,5.56%,6.8
2025-09-27,1,52,1.92%,4.1
2025-09-28,1,39,2.56%,3.2
2025-09-29,1,55,1.82%,3
2025-09-30,0,52,0%,2.6
2025-10-01,2,72,2.78%,3.3
2025-10-02,1,76,1.32%,3.3
2025-10-03,3,75,4%,2.3
2025-10-04,1,65,1.54%,1.8
2025-10-05,2,67,2.99%,2.3
2025-10-06,2,78,2.56%,2.8
2025-10-07,1,57,1.75%,2.1
2025-10-08,1,80,1.25%,1.9
2025-10-09,0,79,0%,3
2025-10-10,1,56,1.79%,6
2025-10-11,0,57,0%,2.4
2025-10-12,1,77,1.3%,4
2025-10-13,1,56,1.79%,2.4
2025-10-14,1,69,1.45%,2.5
2025-10-15,0,65,0%,3.3
2025-10-16,2,68,2.94%,5.2
2025-10-17,0,66,0%,4.2
2025-10-18,1,56,1.79%,4.6
2025-10-19,0,77,0%,1.7
2025-10-20,0,53,0%,2.2
2025-10-21,0,94,0%,2.4
2025-10-22,0,69,0%,2
2025-10-23,0,68,0%,1.4
2025-10-24,1,63,1.59%,1.6
2025-10-25,3,51,5.88%,1.6
2025-10-26,0,79,0%,1.7
2025-10-27,0,68,0%,2.6
2025-10-28,0,86,0%,1.4
2025-10-29,1,88,1.14%,1.2
2025-10-30,0,46,0%,1.9
2025-10-31,2,14,14.29%,2.1
2025-11-01,2,18,11.11%,4.6
2025-11-02,2,23,8.7%,2.3
2025-11-03,1,21,4.76%,2.5
2025-11-04,0,7,0%,4.4
2025-11-05,0,14,0%,2.4
2025-11-06,1,9,11.11%,5
2025-11-07,0,9,0%,4.7
2025-11-08,5,19,26.32%,7.2
2025-11-09,5,10,50%,2
2025-11-10,0,23,0%,3.7
2025-11-11,2,12,16.67%,3.4
2025-11-12,0,10,0%,14.6
2025-11-13,0,11,0%,4.5
2025-11-14,0,12,0%,4.6
2025-11-15,0,15,0%,5.3
2025-11-16,0,22,0%,3.5
2025-11-17,1,37,2.7%,8
2025-11-18,1,24,4.17%,6.8
2025-11-19,1,4,25%,2
2025-11-20,0,15,0%,13.6
2025-11-21,1,9,11.11%,8.2
2025-11-22,1,4,25%,2
2025-11-23,1,11,9.09%,12.6
2025-11-24,0,13,0%,3.7
2025-11-25,0,4,0%,2.2
2025-11-26,1,7,14.29%,5.1
2025-11-27,0,7,0%,12
2025-11-28,1,10,10%,8.2
2025-11-29,0,10,0%,3
2025-11-30,3,14,21.43%,6.2
2025-12-01,0,11,0%,9.9
2025-12-02,0,5,0%,8.4
2025-12-03,1,8,12.5%,4.9
2025-12-04,1,10,10%,2.8
2025-12-05,0,4,0%,1
2025-12-06,1,11,9.09%,10.6
2025-12-07,1,9,11.11%,3.3
2025-12-08,2,22,9.09%,46.6
2025-12-09,0,10,0%,6.4
2025-12-10,0,15,0%,2.3
2025-12-11,2,7,28.57%,2.7
2025-12-12,2,12,16.67%,4.6
2025-12-13,1,6,16.67%,3.3
2025-12-14,0,8,0%,6
2025-12-15,3,10,30%,25.2
2025-12-16,1,6,16.67%,5.2
2025-12-17,0,9,0%,10.9
2025-12-18,0,6,0%,5.3
2025-12-19,1,7,14.29%,3.7
2025-12-20,0,5,0%,5.8
2025-12-21,0,4,0%,5.2
2025-12-22,0,12,0%,4.5
2025-12-23,0,10,0%,6.4
2025-12-24,0,3,0%,24.3
2025-12-25,0,1,0%,8
2025-12-26,0,8,0%,5.4
2025-12-27,0,6,0%,38.2
2025-12-28,0,1,0%,1
2025-12-29,0,2,0%,10.5
2025-12-30,2,16,12.5%,7
2025-12-31,0,3,0%,6.3
2026-01-01,1,11,9.09%,6.1
2026-01-02,8,23,34.78%,7.3
2026-01-03,4,12,33.33%,5.3
2026-01-04,1,9,11.11%,4.7
2026-01-05,3,11,27.27%,19.2
2026-01-06,1,19,5.26%,5.6
2026-01-07,1,4,25%,14
2026-01-08,0,12,0%,16.4
2026-01-09,1,17,5.88%,11.1
2026-01-10,0,17,0%,4.9
2026-01-11,0,17,0%,4.2
2026-01-12,1,19,5.26%,28
2026-01-13,3,17,17.65%,18.6
2026-01-14,4,10,40%,6.9
2026-01-15,1,19,5.26%,16.4
2026-01-16,1,23,4.35%,9.8
2026-01-17,0,12,0%,9.8
2026-01-18,1,20,5%,22.9
2026-01-19,1,16,6.25%,15.2
2026-01-20,2,28,7.14%,25
2026-01-21,1,22,4.55%,35.9
2026-01-22,0,17,0%,23.1
2026-01-23,0,21,0%,8.4
2026-01-24,4,25,16%,10.4
2026-01-25,2,14,14.29%,11.3
2026-01-26,1,23,4.35%,7.5
2026-01-27,4,25,16%,27.1
2026-01-28,1,13,7.69%,15.2
2026-01-29,1,21,4.76%,14.6
2026-01-30,3,24,12.5%,9.2